Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
447,2024,809,11,"2,120",500,"3,465","6,751",26,500,"3,077", -   , -   ,"3,077","9,200","3,674","6,751","19,708",-22143.00,"-2,436","-4,809","-5,253","-5,253","3,674",
448,2024,"17,240","5,804","14,037", -   ,"37,082","49,429","17,015","20,678","44,836", -   , -   ,"44,836","5,100","4,593","49,429","122,183",-119564.00,"2,619","1,137","1,082",993,"4,593",
449,2024,658,"4,838","9,723", -   ,"15,524","42,184","2,682", -   ,"17,723","17,410","17,410","35,133","16,000","7,051","42,184","63,860",-49020.00,"14,840","4,245","4,004","3,203","7,038","1,885"
450,2024,"3,862",357,"11,057", -   ,"15,276","39,946","9,054","34,537","49,588", -   , -   ,"49,588","30,000","-9,642","39,947","97,622",-105819.00,"-8,197","-18,792","-18,592","-18,592","-9,642",
451,2024,"2,711","19,825","44,802", -   ,"71,106","82,019",935,"32,800","35,293", -   , -   ,"35,293","50,000","46,725","82,019","35,103",-24111.00,"10,992","5,028","4,886","4,802","46,725",
452,2024,"1,745","149,675","16,451", -   ,"173,014","222,389","11,071", -   ,"11,433","19,980","159,804","171,237","51,000","51,152","222,389","47,209",-39412.00,"7,797",101,45,-18,"51,152",
453,2024,"1,080", -   ,"15,731", -   ,"21,157","47,141","1,486","22,313","32,649", -   , -   ,"32,649","20,000","14,493","47,141","58,490",-48274.00,"10,216","4,703","3,963","3,170","14,484",
454,2024,"2,204","1,133","1,410", -   ,"4,932","10,550","1,727","1,000","4,610", -   , -   ,"4,610","8,500","5,940","10,550","87,675",-84826.00,"2,849",204,262,237,"5,940",
455,2024,"5,819","21,394","4,158", -   ,"32,255","56,795","1,233","6,605","11,390", -   , -   ,"11,390","70,000","45,406","56,795","11,305",-8081.00,"3,225","-6,191","-6,461","-6,461","45,406",
456,2024,363, -   ,"50,782", -   ,"53,396","494,460","1,212","6,670","32,549", -   ,"152,065","184,614","250,000","309,847","494,460","45,376",-10970.00,"34,406","3,396","3,294","2,511","198,809",
457,2024,"10,311","41,235","52,915", -   ,"104,931","111,625","17,266","22,757","40,382",849,849,"41,231","70,000","70,394","111,625","74,416",-67027.00,"7,389",53,27,22,"70,394",
458,2024,"12,390","79,243","37,013","2,000","131,645","200,281","52,182","77,764","144,473", -   , -   ,"144,473","50,000","55,809","200,281","242,755",-190539.00,"52,216","1,884","2,675","2,140","-1,888",
459,2024,"7,586","5,535","46,319", -   ,"59,778","87,269","24,616","19,917","54,417","16,347","16,508","70,924","10,000","16,345","87,269","186,710",-171988.00,"14,722","1,970","1,678",850,"-6,972",
460,2024,"6,241", -   ,"4,573", -   ,"11,090","26,623", -   , -   ,"7,420", -   ,"8,640","16,061","15,000","10,562","26,623","2,113", -   ,"2,113","-4,278",171,28,"10,562",
461,2024,"3,173","133,780","113,038", -   ,"249,990","264,386","8,468","115,313","140,696", -   , -   ,"140,696","134,000","123,690","264,386","108,183",-88297.00,"19,886",150,80,80,"123,690",
462,2024,780,"23,005","46,390", -   ,"70,551","71,769","17,307", -   ,"42,857", -   , -   ,"42,857","10,000","28,912","71,769","99,461",-81466.00,"17,995","1,203",980,739,"28,912",
463,2024,"1,126",494,"2,952", -   ,"4,679","4,977","2,331","1,706","4,848", -   , -   ,"4,848","1,500",129,"4,977","28,903",-23395.00,"5,509",58,59,47,129,
464,2024,"6,837","10,462","22,804", -   ,"40,103","40,745","4,574","18,000","24,801", -   , -   ,"24,801","15,000","15,944","40,745","30,060",-28005.00,"2,055",48,50,40,"15,944",
