Company_ID,FS year,Cash & Bank,Inventory,Accounts Receivable,Investment,Total Current Assets,Total Assets,Accounts Payable,Short- term loans and finance lease liabilities,Total current Liabilities,Long- term loans and finance lease liabilities,Total Non-Current Assets,Total Liabilities,Capital,Total Equity,Total Liabilities & Equity,Net Revenue,COSG,Gross Profit,Profit from operations,Net profit before tax,Net profit after tax,Tangible Net Worth,Interest expenses
822,2024,"35,818","159,070","69,911", -   ,"285,214","440,978","212,399", -   ,"223,063", -   , -   ,"223,063","208,110","217,914","440,978","404,235",-308621.00,"95,613","59,337","37,953","37,953","217,029", -   
823,2024,"12,929","25,463","71,997", -   ,"116,994","386,422","45,547","126,268","189,016","104,673","110,850","299,866","149,073","86,556","386,422","379,702",-345813.00,"33,889","-18,652","-18,871","-18,871","86,556",
824,2024,23,"2,338","4,947", -   ,"8,124","11,997","2,834", -   ,"3,740", -   ,"7,509","11,250","4,649",747,"11,997","40,134",-34428.00,"5,706","2,016","2,025","2,025",747, -   
825,2024,"1,211",351,"14,089", -   ,"15,664","15,768","11,418", -   ,"12,449", -   , -   ,"12,449","3,000","3,319","15,768","31,985",-30786.00,"1,199",32,32,26,"3,319",
826,2024,"10,569","147,738","109,146", -   ,"279,208","481,425","299,378","182,821","527,306", -   ,"1,495","528,801","34,755","-47,376","481,425","1,039,469",-954827.00,"84,642","37,675","38,269","38,269","-47,376","4,187"
827,2024,"41,623","757,384","30,680", -   ,"910,926","1,019,361","391,518", -   ,"456,513", -   ,"2,618","459,131","480,000","560,230","1,019,361","1,251,374",-840582.00,"410,792","15,660","85,168","68,134","554,900",
828,2024,"8,187","1,013","20,018", -   ,"34,214","36,880","2,627", -   ,"10,856", -   , -   ,"10,856","25,000","26,025","36,880","42,468",-38198.00,"4,270","-1,562","-1,521","-1,521","26,025", -   
829,2024,"1,755","1,228",271,"1,000","5,247","5,278",429, -   ,"2,867", -   , -   ,"2,867","3,000","2,412","5,278","20,917",-17100.00,"3,816",77,-38,-43,"2,411",
830,2024,"21,901","17,576","51,264",105,"103,577","327,282","19,576","97,372","139,861","159,060","159,060","298,922","85,000","28,360","327,282","352,439",-277549.00,"74,890","-10,420","-10,364","-10,364","26,820",
831,2024,974,202,"15,559", -   ,"16,978","16,978","6,677","3,770","11,303", -   , -   ,"11,303","5,000","5,675","16,978","12,632",-10298.00,"2,334","1,167","1,154",923,"5,675",
832,2024,"5,382", -   ,903, -   ,"6,285","7,252","1,080",790,"2,111", -   , -   ,"2,111","5,000","5,141","7,252","14,347",-5062.00,"9,285","1,301","1,292","1,000","5,141",
833,2024,"13,822","2,451","3,332", -   ,"19,604","22,162","4,155", -   ,"18,056", -   , -   ,"18,056","8,000","4,106","22,162","19,561",-19133.00,428,"-2,282","-2,426","-2,426","4,106",
834,2024,"4,125", -   ,"6,948", -   ,"11,073","17,104","3,495","4,830","8,906", -   , -   ,"8,906","8,001","8,197","17,104","55,034",-52023.00,"3,011",290,288,230,"8,197",
835,2024,"13,894","1,489","4,559", -   ,"23,753","28,161","1,323","5,375","32,333", -   , -   ,"32,333","1,000","-4,172","28,161","106,673",-89811.00,"16,862","-2,264","-1,943","-2,041","-4,172",
836,2024,"1,190",214,"6,993", -   ,"8,397","12,984",412, -   ,"6,603", -   , -   ,"6,603","4,000","6,381","12,984","15,757",-8430.00,"7,327","1,197","1,184",944,"6,381",
837,2024,73,"2,684",100, -   ,"2,856","2,952",14,"2,330","2,382", -   , -   ,"2,382","1,000",570,"2,952", -   , -   , -   ,-212,-253,-253,570,
838,2024,"3,149",835,"8,914", -   ,"13,729","20,768","1,202","3,743","11,749", -   , -   ,"11,749","10,000","9,020","20,768","69,616",-63286.00,"6,330",597,493,493,"9,020",
839,2024,80,"16,974","27,607", -   ,"44,661","65,025", -   ,"51,962","53,147", -   , -   ,"53,147","17,296","11,878","65,025","137,001",-123333.00,"13,668",-822,-821,-838,"11,878",
840,2024,806,"11,689","1,007", -   ,"20,270","23,917","2,384", -   ,"25,471", -   , -   ,"25,471","5,000","-1,554","23,916","77,812",-74169.00,"3,643","-3,165","-3,254","-3,254","-1,554", -   
841,2024,621,"17,188","6,218", -   ,"24,027","25,573","11,035","4,500","15,663", -   , -   ,"15,663","9,000","9,910","25,573","160,982",-158567.00,"2,415",643,643,515,"9,910",
842,2024,213,"3,287","5,432", -   ,"14,875","20,646","3,399","12,915","18,194", -   , -   ,"18,194","1,000","2,452","20,647","12,541",-9652.00,"2,889","-1,990","-1,996","-1,996","2,452",
843,2024, -   , -   , -   , -   ,22,22, -   , -   ,-15, -   , -   ,-15,"4,213",37,22,"58,585",-54810.00,"3,774","-2,877","-3,099","-3,099",37,
844,2024,"124,791","1,962","78,469", -   ,"205,223","205,259","190,063", -   ,"198,400", -   , -   ,"198,400","6,500","6,859","205,259","198,710",-197819.00,891,-52,-52,-52,"6,858",
845,2024,"13,640","3,914",895, -   ,"19,154","41,711",618, -   ,"71,044", -   , -   ,"71,044","59,928","-29,333","41,711","76,836",-49028.00,"27,808","10,768","9,101","6,989","-29,333", -   
846,2024,"23,235","47,637","22,061", -   ,"94,011","208,318","6,917","76,034","85,638", -   , -   ,"85,638","191,771","122,680","208,318","144,493",-112006.00,"32,486","8,083","1,729",880,"122,680","3,395"
847,2024,"9,302","5,475","14,965", -   ,"30,450","43,331",686, -   ,"10,104", -   , -   ,"10,104","13,707","33,227","43,331","120,271",-85704.00,"34,567","15,529","15,529","13,199","33,227",
848,2024,"16,131","28,894","61,812", -   ,"110,928","118,063","17,644", -   ,"36,358", -   , -   ,"36,358","4,412","81,706","118,063","109,107",-84959.00,"24,149","12,134","12,170","9,990","81,706", -   
849,2024,474,"5,853","-2,096", -   ,"10,591","26,094","7,631", -   ,"407,982", -   , -   ,"407,982","23,799","-381,888","26,094","248,201",-252698.00,"-4,497","-29,929","-30,721","-30,721","-381,888",
850,2024,591,"12,243","20,879", -   ,"35,459","88,531","5,890","11,215","48,044", -   , -   ,"48,044","71,641","40,487","88,531","202,971",-177422.00,"25,549","3,385","3,311","2,320","40,487",
851,2024,"3,294","15,848",316, -   ,"25,431","65,611","5,498", -   ,"184,086", -   , -   ,"184,086","180,186","-118,475","65,611","169,077",-173073.00,"-3,996","-25,385","-25,703","-25,703","-118,475", -   
852,2024,"22,189","126,328","191,477","9,000","398,928","923,729","93,823","224,341","364,114","160,844","160,844","524,958","113,280","398,771","923,729","912,291",-632084.00,"280,207","83,266","76,859","70,318","397,678","22,344"
853,2024,"8,845","56,251","26,502", -   ,"91,597","125,847","3,904", -   ,"33,831", -   , -   ,"33,831","158,000","92,017","125,847","274,167",-264589.00,"9,578","-9,309","-9,086","-9,086","92,017", -   
854,2024,621,"2,890","9,405", -   ,"12,916","15,900","1,844","2,267","5,928", -   , -   ,"5,928","9,900","9,972","15,900","16,324",-12312.00,"4,012",12,12,10,"9,972",
855,2024,"4,241","2,730","1,577", -   ,"17,745","61,239","5,514","39,790","59,005", -   , -   ,"59,005","36,000","2,234","61,239","68,400",-81437.00,"-13,038","-20,529","-21,189","-21,189","2,234",
856,2024,790,"1,172", -   , -   ,"1,969","1,969", -   , -   ,19, -   , -   ,19,"1,900","1,950","1,969","1,271",-1266.00,5,-15,-15,-15,"1,950",
857,2024,"1,875","2,482","46,769","24,000","75,126","75,206","4,613","6,460","14,346", -   , -   ,"14,346","60,000","60,859","75,206","18,633",-17536.00,"1,097",101,-192,-212,"60,859",
858,2024,"7,480","16,671","15,971", -   ,"41,330","42,292","10,299","4,840","23,727", -   , -   ,"23,727","20,000","18,565","42,292","38,742",-35277.00,"3,466",97,"-1,261","-1,280","18,565",
859,2024,482, -   ,"6,864", -   ,"7,346","7,348",53, -   ,308, -   , -   ,308,"6,000","7,040","7,348","50,908",-50406.00,502,63,63,50,"7,040",
860,2024,"1,005","15,184","16,832", -   ,"33,044","87,987","1,778", -   ,"20,002", -   , -   ,"20,002","46,000","67,985","87,987","155,732",-127440.00,"28,293","20,126","20,134","17,262","67,985",
861,2024,"4,036","4,789","9,331",500,"18,657","19,035","1,078",198,"9,303", -   , -   ,"9,303","10,000","9,732","19,035","40,499",-38397.00,"2,102",203,202,162,"9,732",
862,2024,549,197,997, -   ,"1,744","2,694","3,346", -   ,"3,346", -   , -   ,"3,346","1,900",-652,"2,694","14,235",-12756.00,"1,480",-275,-275,-275,-652,
863,2024,"10,432","33,918","46,798", -   ,"92,372","127,870","4,885","35,436","46,302", -   , -   ,"46,302","20,000","81,568","127,870","54,968",-40778.00,"14,189","5,910","5,827","5,558","80,696","-1,829"
864,2024,22,"31,339","3,897", -   ,"35,587","36,523","2,764", -   ,"10,196", -   , -   ,"10,196","20,000","26,327","36,523","57,731",-51014.00,"6,717","4,471","3,915","3,019","26,290", -   
865,2024,"4,128","9,076","1,353", -   ,"15,129","73,324","5,276","68,575","121,830","2,947","2,947","124,777","53,972","-51,453","73,324","109,824",-107741.00,"2,084","-16,663","-4,130","-4,130","-51,453",
866,2024,514,"23,339","41,771", -   ,"76,837","77,294","10,499","39,070","54,720", -   , -   ,"54,720","25,000","22,575","77,294","36,475",-26183.00,"10,292",308,161,93,"22,575",
867,2024,"10,295","68,579","107,614", -   ,"189,939","344,859","7,062", -   ,"46,581", -   , -   ,"46,581","324,485","298,278","344,859","448,007",-398311.00,"49,697","22,857","21,024","14,471","298,278", -   
868,2024,811,"20,270","50,558", -   ,"71,686","71,924","32,656","27,617","63,406", -   , -   ,"63,406","9,800","8,518","71,924","65,440",-62426.00,"3,014",347,347,278,"8,518",
869,2024,385,161,"129,701", -   ,"130,303","130,303","81,864","39,997","134,732", -   , -   ,"134,732","2,000","-4,429","130,303","89,759",-89476.00,282,"-4,023","-4,024","-4,024","-4,429",
870,2024,"4,813","2,529","2,473", -   ,"10,438","17,253","2,056","1,900","12,290",473,473,"12,762","3,000","4,491","17,253","46,231",-36505.00,"9,726","4,162","4,315","4,112","4,491",
871,2024,"278,136","48,663","56,360","100,863","485,391","745,829","9,419", -   ,"69,125", -   ,"80,867","149,992","565,787","595,837","745,830","507,014",-450701.00,"56,314","37,294","37,577","30,051","595,199", -   
872,2024,"4,790","53,386","6,984", -   ,"65,160","72,267","5,321","37,496","44,807", -   , -   ,"44,807","39,000","27,460","72,267","69,757",-34161.00,"35,596",540,337,337,"27,460",
873,2024,"54,471","10,717","177,271", -   ,"246,817","246,817","156,296","54,800","211,119", -   , -   ,"211,119","36,000","35,699","246,817","112,960",-112730.00,230,-38,-129,-233,"35,698",
874,2024,"1,633","7,308","1,645", -   ,"14,067","15,036","7,198","1,238","21,735", -   , -   ,"21,735","18,000","-6,699","15,036","25,473",-22739.00,"2,734",208,-63,-63,"-6,699",
875,2024,"7,768","6,987","12,899", -   ,"29,343","123,440","4,423","24,052","35,323","13,468","13,468","48,791","81,650","74,649","123,440","132,024",-103862.00,"28,161","13,555","13,865","13,655","48,299",
876,2024,"7,844","11,196","1,208", -   ,"22,684","63,081",499,"10,221","12,006","58,877","58,877","70,884","39,215","-7,803","63,081","20,472",-22173.00,"-1,700","-10,344","-10,129","-10,129","-11,141",
877,2024,"64,132","1,668","22,877", -   ,"92,033","92,775","7,935", -   ,"11,132", -   , -   ,"11,132","34,446","81,644","92,775","259,239",-212476.00,"46,764","28,319","28,338","22,836","81,643", -   
878,2024,"2,498","5,145","33,807", -   ,"53,591","69,946","6,264", -   ,"19,394", -   , -   ,"19,394","123,686","50,552","69,946","172,969",-151639.00,"21,330","8,786","8,664","6,763","50,552", -   
879,2024,"8,662","51,205","127,727", -   ,"196,809","280,889","18,619","40,000","124,119", -   ,101,"124,219","86,878","156,670","280,889","727,002",-659309.00,"67,693","34,695","34,356","34,369","155,635","1,732"
880,2024,"128,149","220,348","447,322", -   ,"800,453","1,273,375","545,271","559,702","1,150,163", -   , -   ,"1,150,163","130,268","123,212","1,273,375","1,253,987",-1175994.00,"77,993","-22,231","-22,087","-22,170","123,212","16,198"
881,2024,"96,900","378,349","211,288","86,400","774,073","1,262,682","304,060","494,875","856,193", -   , -   ,"856,193","225,801","406,489","1,262,682","1,477,911",-1232868.00,"245,043","171,316","172,581","157,436","406,489","16,468"
882,2024,"154,293","261,995","197,743", -   ,"637,057","897,408","106,147","57,998","223,776","57,922","57,922","281,698","134,400","615,710","897,408","1,499,125",-1252086.00,"247,039","203,515","208,247","189,159","614,839","10,572"
883,2024,"87,597","402,185","202,364", -   ,"697,681","1,945,121","175,122","762,977","1,082,512","638,775","736,493","1,819,005","227,271","126,117","1,945,122","2,793,597",-2287173.00,"506,423","225,198","241,671","242,809","115,940","100,884"
884,2024,476, -   ,"24,925", -   ,"26,332","26,332","1,062", -   ,"53,938", -   , -   ,"53,938","11,529","-27,606","26,332","44,763",-39429.00,"5,334",321,-471,-471,"-27,606",
885,2024,"4,812","1,881","9,337", -   ,"18,674","46,326","1,874", -   ,"20,782","30,264","30,264","51,046","49,589","-4,720","46,326","125,876",-116796.00,"9,080","-4,258","-5,934","-5,934","-4,720","1,793"
886,2024,101,28,333, -   ,789,"1,004","3,887", -   ,"59,397", -   , -   ,"59,397","16,697","-58,393","1,004","54,942",-54893.00,49,"-1,943","-2,071","-2,071","-58,393", -   
887,2024,"15,520",308,"19,593","8,000","43,463","53,180","5,449", -   ,"12,215", -   ,"3,619","15,834","31,554","37,346","53,180","81,498",-61112.00,"20,387","13,561","13,577","10,862","37,346",
888,2024,"4,161", -   , -   , -   ,"8,461","17,420",26, -   ,"73,593", -   , -   ,"73,593","146,723","-56,173","17,420", -   , -   , -   ,"-1,413",-425,-425,"-56,173", -   
889,2024,"140,496","504,402","644,968", -   ,"1,379,092","2,838,320","616,521","25,875","754,960", -   , -   ,"754,960","1,959,048","2,083,359","2,838,320","2,681,786",-2485096.00,"196,690","130,328","137,259","111,341","2,083,311","1,953"
890,2024,839, -   ,"2,969", -   ,"4,865","144,362",820, -   ,"9,093","35,308","35,308","44,401","165,780","99,961","144,362", -   , -   , -   ,"-7,750","-7,750","-7,750","99,961",
891,2024,"27,512", -   ,245, -   ,"31,956","31,956", -   , -   ,"41,983", -   , -   ,"41,983","10,000","-10,028","31,956","42,497",-38406.00,"4,091","-1,018","-1,018","-1,018","-10,028",
892,2024,"6,099","2,646","1,223", -   ,"12,541","27,753",645, -   ,645,"5,500","5,500","6,145","32,000","21,609","27,753","5,642",-5011.00,631,-390,-390,-390,"21,609",
893,2024,"7,423","24,384","36,243", -   ,"69,242","76,723","4,854","54,276","67,278", -   ,"1,433","68,711","15,000","8,013","76,723","104,787",-94648.00,"10,139","-4,159","-4,340","-4,340","8,013",
894,2024,"3,254","1,505","32,920", -   ,"37,692","40,671","4,661","4,601","15,694", -   , -   ,"15,694","6,000","24,977","40,671","109,890",-92776.00,"17,115","4,668","4,460","3,776","24,977",
895,2024,"1,395","13,404","343,627","50,000","409,679","411,943",148, -   ,875, -   ,"99,041","99,916","315,000","312,027","411,943","14,798",-14939.00,-140,"-4,081","-4,200","-4,200","312,027",
896,2024,739,"7,261","11,353", -   ,"19,729","19,860",67, -   ,"21,042", -   , -   ,"21,042","1,000","-1,182","19,860","10,021",-9947.00,74,-55,"-1,321","-1,321","-1,182",
897,2024,"8,786", -   ,"11,921",0,"20,707","25,798","9,928", -   ,"10,937", -   , -   ,"10,937","20,000","14,861","25,798","28,838",-16129.00,"12,709",-248,-157,-274,"14,861",
898,2024,14, -   ,"1,182", -   ,"1,196","107,378",80,"35,900","36,315","7,569","7,569","43,885","65,400","63,494","107,378","19,883",-13828.00,"6,055","1,553","1,459","1,457","63,494",
899,2024,504, -   ,"1,581", -   ,"2,085","32,845","4,202","2,448","23,572", -   , -   ,"23,572","10,000","9,273","32,845","29,578",-19425.00,"10,153",62,56,56,"9,273",
900,2024,"35,134","1,537","10,704", -   ,"47,375","56,496","15,065","19,194","51,646", -   , -   ,"51,646","8,000","4,850","56,496","8,138",-7466.00,672,-6,-1,-1,"4,850",
901,2024,"52,744","107,793","198,284", -   ,"359,744","962,079","91,124","192,664","316,880", -   , -   ,"316,880","559,382","645,199","962,079","707,311",-628644.00,"78,668","18,605","19,988","15,905","210,487", -   
902,2024,"9,469",2,513, -   ,"14,124","221,431","10,264", -   ,"78,121", -   , -   ,"78,121","222,972","143,310","221,431","222,925",-177324.00,"45,601","3,509","3,347","6,813","143,294", -   
903,2024,"8,340","4,991","19,775", -   ,"46,473","55,204","28,710", -   ,"41,349", -   , -   ,"41,349","7,840","13,855","55,204","158,214",-120423.00,"37,791","3,523","3,342","2,492","13,855", -   
904,2024,"11,627","3,442","59,347","30,000","104,832","173,791","8,379", -   ,"33,263", -   , -   ,"33,263","29,032","140,528","173,791","256,892",-189247.00,"67,644","45,381","43,888","34,800","140,528", -   
905,2024,"2,099","3,060","3,725", -   ,"11,323","40,761",473, -   ,"4,272","14,536","14,536","18,807","13,353","21,953","40,761","35,932",-29030.00,"6,902","4,400","4,375","3,483","21,953", -   
906,2024,"1,496","14,677","11,121", -   ,"36,425","37,767","6,657","41,145","44,920", -   , -   ,"44,920","10,000","-7,153","37,767","52,990",-42025.00,"10,965",59,59,47,"-7,153",
907,2024,"6,215","711,528","288,977", -   ,"1,028,350","1,728,642","27,238","432,010","1,514,126", -   , -   ,"1,514,126","332,147","214,516","1,728,643","334,828",-263582.00,"71,246","-9,294","-9,470","-9,470","133,105","19,813"
908,2024,"23,202","20,545","10,087", -   ,"59,519","112,382","9,502", -   ,"29,245","3,441","3,441","32,685","65,000","79,696","112,382","205,470",-173135.00,"32,335","7,434","7,427","5,957","79,696",483
909,2024,"27,748","136,570","3,029", -   ,"169,502","414,192","142,156", -   ,"168,894", -   , -   ,"168,894","113,181","245,298","414,192","609,842",-518978.00,"90,864","52,070","48,952","39,087","245,244",104
910,2024,"1,747","37,577","36,963", -   ,"79,971","114,118","13,051","22,103","38,923", -   , -   ,"38,923","6,029","75,195","114,118","157,481",-136206.00,"21,276","4,004","3,814","2,854","75,195","1,540"
911,2024,"7,165","7,096","83,565", -   ,"102,918","306,479","2,135","44,896","55,113","245,290","245,290","300,402","170,236","6,077","306,479","157,145",-154733.00,"2,412","-24,496","-24,615","-24,615","5,875","2,760"
912,2024,"75,991","39,309","340,724", -   ,"461,924","897,534","5,095", -   ,"29,873", -   , -   ,"29,873","806,247","867,661","897,534","428,476",-386554.00,"41,923","35,154","35,019","28,480","867,661", -   
913,2024,"29,869","176,047","301,465", -   ,"536,901","2,213,486","153,339","505,480","817,394","1,003,340","1,003,340","1,820,735","515,707","392,751","2,213,486","1,804,805",-1292010.00,"512,794","233,447","233,347","218,420","273,661", -   
914,2024,18,"13,356","14,602", -   ,"28,721","29,571","12,148", -   ,"28,721", -   , -   ,"28,721","9,726",850,"29,571","31,839",-28067.00,"3,773",-870,-913,-913,850, -   
915,2024,"4,169","9,539","47,283", -   ,"64,184","116,240","13,029","76,653","110,225", -   , -   ,"110,225","44,565","6,015","116,240","202,881",-182162.00,"20,719","3,793","3,033","2,966","6,014","1,685"
916,2024,"10,906","53,878","17,132", -   ,"82,397","230,976","9,810","82,444","165,911","61,566","61,566","227,477","49,006","3,499","230,975","194,289",-169590.00,"24,699",778,"1,177","1,177","3,499","8,131"
917,2024,"11,289",808,"11,308", -   ,"23,813","28,479","2,820", -   ,"24,279", -   , -   ,"24,279","11,149","4,200","28,479","149,805",-147600.00,"2,204","-5,136","-1,003","-1,003","4,200",
918,2024,"1,239","10,552","32,908", -   ,"46,572","138,029","1,725","18,845","33,057", -   , -   ,"33,057","100,000","104,972","138,029","115,506",-99973.00,"15,533","4,379","4,423","4,197","104,955",
919,2024,"3,412", -   ,337, -   ,"3,992","13,865",771, -   ,"2,260", -   , -   ,"2,260","14,000","11,605","13,865","11,318",-9802.00,"1,515",86,78,78,"11,605",
920,2024,"9,610","2,425","9,531", -   ,"29,609","44,713","1,869","29,652","36,807", -   , -   ,"36,807","11,979","7,906","44,713","51,922",-39646.00,"12,276","1,316",901,901,"7,906",
921,2024,"14,045","5,959","7,775", -   ,"27,856","46,783","1,999", -   ,"6,427", -   , -   ,"6,427","42,394","40,356","46,783","60,081",-53053.00,"7,028",344,442,420,"40,356",
922,2024,"11,056","1,850","12,038", -   ,"25,146","58,996","1,148", -   ,"4,220", -   , -   ,"4,220","32,057","54,777","58,996","69,522",-48298.00,"21,224","12,045","11,945","9,530","54,777", -   
923,2024,24,780,"1,979", -   ,"3,125","72,291",320, -   ,"73,148","173,531","178,993","252,141","22,267","-179,850","72,291","18,414",-22935.00,"-4,522","-21,890","-22,198","-22,198","-180,068","5,390"
924,2024,276, -   ,"7,978", -   ,"8,350","221,238","1,037", -   ,"6,642", -   , -   ,"6,642","460,091","214,596","221,238", -   , -   , -   ,"-22,795","-22,632","-22,632","214,596", -   
925,2024,"14,161","18,293","9,709", -   ,"42,694","112,939","4,378","9,873","34,399", -   ,86,"34,485","95,256","78,454","112,939","210,642",-163478.00,"47,164","5,124","4,262","3,577","78,418",987
926,2024,"11,636","18,168","63,087", -   ,"97,148","360,962","18,861","92,003","130,089", -   , -   ,"130,089","331,400","230,873","360,962","198,184",-185982.00,"12,202","-10,184","-12,252","-12,252","230,873",641
927,2024,"4,995","8,879","24,848", -   ,"38,722","66,035","10,972","26,488","46,969", -   , -   ,"46,969","29,838","19,066","66,035","94,627",-83881.00,"10,746","1,992","2,045","2,045","19,066",
928,2024,"2,382","11,910","49,078", -   ,"67,020","112,422","23,715", -   ,"46,658", -   , -   ,"46,658","52,032","65,763","112,422","264,134",-225575.00,"38,559","16,500","16,468","13,593","65,763",
929,2024,847,"9,886","20,237", -   ,"32,208","49,571","3,136","2,555","19,166","7,665","7,665","26,831","20,896","22,741","49,571","87,006",-69973.00,"17,033",526,487,253,"22,741",112
930,2024,"7,135","2,280","214,367",838,"225,257","469,467","7,270", -   ,"35,894", -   , -   ,"35,894","433,573","433,573","469,467","143,863",-129317.00,"14,546","28,637","27,095","22,928","433,573", -   
931,2024,"1,360","34,912","27,407", -   ,"66,317","209,018","5,815","20,441","31,171", -   , -   ,"31,171","111,168","177,847","209,018","208,547",-182736.00,"25,810","12,350","12,959","12,131","177,847","1,522"
932,2024,"26,612","3,526","12,278","1,900","44,316","75,149","17,040", -   ,"53,105", -   , -   ,"53,105","20,000","22,044","75,149","186,331",-159697.00,"26,635","1,149","1,035",825,"22,044",
933,2024,"8,622",624,"5,635","6,000","20,880","30,279",922, -   ,"15,692", -   , -   ,"15,692","12,000","14,587","30,279","58,755",-51412.00,"7,344","4,706","4,656","3,897","14,587",
934,2024,139,"2,707","8,656", -   ,"11,882","37,044","8,149","9,499","25,177", -   , -   ,"25,177","11,606","11,867","37,044","137,835",-126757.00,"11,079","2,663","2,473","2,304","11,867",
935,2024,"17,157","3,931","1,244", -   ,"22,331","33,027",761,"19,474","26,501", -   , -   ,"26,501","9,000","6,526","33,027","82,280",-75275.00,"7,005",-402,-334,-350,"6,526",
936,2024,"31,566","11,507","19,796", -   ,"63,689","149,137","28,089", -   ,"35,756", -   , -   ,"35,756","88,592","113,381","149,137","114,398",-88287.00,"26,111","10,830","10,740","9,428","113,381", -   
937,2024,"5,142","349,636","148,281", -   ,"503,059","933,288","134,106","322,230","517,203","40,392","40,392","557,596","180,296","375,693","933,288","2,321,096",-2180365.00,"140,731","26,541","30,007","18,053","375,692","12,347"
938,2024,589,"21,582","104,747", -   ,"138,128","421,711","29,679", -   ,"86,011", -   , -   ,"86,011", -   ,"335,700","421,711","464,845",-415852.00,"48,994","37,066","37,051","34,142","322,281", -   
939,2024,"7,470",122,"12,493", -   ,"20,117","41,300","4,815",636,"6,626",761,"3,023","9,649","9,160","31,651","41,300","51,235",-42473.00,"8,762","7,111","7,003","6,595","31,651",337
940,2024,998,"28,495","399,386", -   ,"443,697","707,309","14,272","54,130","87,864", -   , -   ,"87,864","566,044","619,445","707,309","391,124",-365572.00,"25,552","2,627","7,729","7,729","619,124","2,788"
941,2024,169,"4,112","4,179", -   ,"10,930","14,538",24,"14,138","14,235", -   , -   ,"14,235","4,800",303,"14,538","14,282",-11956.00,"2,326",-497,"-1,154","-1,154",303,
942,2024,"40,542",291,"7,402", -   ,"48,234","56,300", -   , -   ,"11,312", -   , -   ,"11,312","15,000","44,989","56,300","55,596",-46643.00,"8,954","4,431","4,431","3,545","44,988",
943,2024,47,"1,443","4,441", -   ,"11,771","14,278","1,610","2,987","20,293", -   , -   ,"20,293","3,000","-6,015","14,278","37,183",-28697.00,"8,486",585,627,627,"-6,015", -   
944,2024,"7,900","4,773",769, -   ,"13,479","14,237",385, -   ,"9,090", -   , -   ,"9,090","1,900","5,147","14,237","35,145",-31065.00,"4,080",824,819,819,"5,147",
945,2024,"12,849","4,296","51,699", -   ,"68,845","88,343","24,884","43,305","75,753", -   , -   ,"75,753","12,680","12,590","88,343","135,244",-129550.00,"5,695",438,427,427,"12,590",
946,2024,657,1,"14,421", -   ,"16,591","16,849","11,792", -   ,"12,097", -   , -   ,"12,097","9,000","4,752","16,849",622,-577.00,45,"-1,844","-1,838","-1,838","4,752",
947,2024,"171,712","1,743","72,414", -   ,"246,030","482,173","86,846", -   ,"113,584", -   , -   ,"113,584","179,322","368,589","482,173","613,842",-438981.00,"174,860","151,672","151,679","137,928","368,589", -   
948,2024,"3,804","11,890","12,402", -   ,"31,006","119,693","3,308", -   ,"10,887", -   , -   ,"10,887","97,992","108,806","119,693","126,216",-112862.00,"13,354","5,754","5,751","5,149","108,762", -   
949,2024,"1,844","8,023","4,080", -   ,"13,967","19,986","2,508", -   ,"8,308","6,500","6,500","14,808","10,000","5,178","19,986","80,997",-70747.00,"10,249","1,942","2,042","1,792","5,178",
950,2024,"18,298","13,455","119,688", -   ,"154,082","154,469","37,648", -   ,"44,696", -   , -   ,"44,696","50,000","109,774","154,469","531,699",-327914.00,"203,786","26,821","26,863","21,488","109,774",136
951,2024,516,"2,513","85,970", -   ,"89,791","94,294","6,903","38,625","58,120", -   , -   ,"58,120","66,000","36,174","94,294","79,545",-63448.00,"16,096","-6,934","-6,992","-6,992","36,174", -   
952,2024,"17,020","1,241",606, -   ,"18,867","18,912", -   ,"2,801","15,298", -   , -   ,"15,298",886,"3,615","18,912","6,928",-5183.00,"1,744",723,0,0,"3,615",
953,2024,"1,580","13,127","44,906", -   ,"87,200","288,719","32,659","62,076","114,946","28,703","61,392","176,338","226,642","112,381","288,719","335,065",-303874.00,"31,191",533,541,541,"79,774","3,996"
954,2024,"39,940","64,487","86,950", -   ,"200,380","281,483","18,881","50,407","87,994", -   ,"45,000","132,994","42,157","148,489","281,483","406,893",-354118.00,"52,776","30,129","30,275","23,954","115,384",
955,2024,"42,329","129,492","64,701", -   ,"242,081","568,048","14,234","51,102","78,963", -   , -   ,"78,963","227,595","489,085","568,048","518,769",-313519.00,"205,250","148,799","130,092","115,305","488,970","3,385"
956,2024,"4,815","11,097","9,632", -   ,"25,543","31,619","2,613", -   ,"3,391", -   , -   ,"3,391","30,000","28,228","31,619","41,966",-40076.00,"1,890",123,"-1,140","-1,165","28,228",
957,2024,"3,636","13,178","8,721", -   ,"25,846","26,379","16,754","4,894","23,707", -   , -   ,"23,707","1,000","2,673","26,379","43,525",-38621.00,"4,904","-3,446","-3,679","-3,679","2,673",
958,2024,"24,909","52,120","17,618", -   ,"95,694","158,283","48,937","7,921","62,268","58,665","58,665","120,933","12,240","37,350","158,283","255,448",-222439.00,"33,008","13,022","13,052","10,314","36,245",
959,2024,466,"16,591","89,100", -   ,"106,643","107,916","61,663","39,726","105,809", -   , -   ,"105,809","1,950","2,106","107,916","46,825",-43227.00,"3,597",30,28,22,"2,106",
960,2024,"9,985","39,543","194,599", -   ,"244,339","334,083","37,979","25,551","89,947","12,776","13,676","103,622","55,484","230,461","334,083","654,625",-565151.00,"89,475","42,621","42,879","34,738","230,461","1,080"
